id,chapter,question,option_count,answers,answer_count,ui_control,issues,course_source
S1-Q15,Chapitre 3 - La preuve des droits,Une copie d'acte authentique est considérée,2,1,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 13"
S1-Q16,Chapitre 3 - La preuve des droits,La présomption de fait,4,1,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 10"
S1-Q17,Chapitre 3 - La preuve des droits,Correspondent à des modes de preuves parfaites (plusieurs réponses),5,"1,2,3,4,5",5,checkboxes,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 12"
S1-Q19,Sans chapitre fiable,Le conseil des prud'hommes (plusieurs réponses),4,"2,3",2,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q20,Sans chapitre fiable,Le conseil des prud'hommes comporte plusieurs sections (plusieurs réponses),9,"2,4,5,7,8",5,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q21,Sans chapitre fiable,Les conseillers prud'homaux,6,,0,checkboxes,NO_ANSWER_KEY;NO_RELIABLE_COURSE_NOTE,
S1-Q22,Sans chapitre fiable,"En principe, chaque différend commence par",3,1,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q23,Chapitre 4 - Les juridictions,"En cas de partage des voix pour trancher le litige, il est fait appel à un juge départiteur. Il s'agit",4,4,1,radio,,"CHAP 4.pdf, p. 7"
S1-Q24,Chapitre 1 - Définition et finalité du droit,Le droit subjectif désigne,3,2,1,radio,,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 4"
S1-Q25,Chapitre 1 - Définition et finalité du droit,Le droit objectif est,4,"2,3",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 4"
S1-Q26,Chapitre 1 - Définition et finalité du droit,Les principales fonctions du droit sont (plusieurs réponses possibles),5,"1,2,4,5",4,checkboxes,,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 3"
S1-Q27,Sans chapitre fiable,"Pour être sénateur, il faut être âgé au minimum",3,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q28,Chapitre 6 - Les personnes,La règle de droit a force obligatoire,4,4,1,radio,,"ENISE CHAP 6 LES PERSONNES-1.pdf, p. 3"
S1-Q29,Chapitre 6 - Les personnes,Une reconnaissance de paternité par un Américain d'un enfant né d'une mère française est réglementée,5,1,1,radio,,"ENISE CHAP 6 LES PERSONNES-1.pdf, p. 2"
S1-Q30,Chapitre 2 - Les sources du droit,Le pouvoir législatif appartient,4,2,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 8"
S1-Q31,Sans chapitre fiable,La loi est votée,5,4,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q32,Chapitre 4 - Les juridictions,"En matière civile, une loi nouvelle est",3,3,1,radio,,"CHAP 4.pdf, p. 19"
S1-Q33,Chapitre 3 - La preuve des droits,"A l'occasion d'un contrat en cours d'exécution, une loi nouvelle",4,3,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 4"
S1-Q34,Chapitre 2 - Les sources du droit,La promulgation de la loi est réalisée,4,4,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 4"
S1-Q35,Sans chapitre fiable,Selon quelle logique la pyramide de Kelsen a été élaborée,3,1,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q36,Chapitre 2 - Les sources du droit,L'article 44 alinéa 3 de la constitution est l'article qui,3,1,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 4"
S1-Q37,Chapitre 2 - Les sources du droit,Les traités internationaux sont applicables si (plusieurs réponses),5,"1,2,4",3,checkboxes,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 1"
S1-Q38,Sans chapitre fiable,La signature du traité revient,5,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q39,Sans chapitre fiable,L'initiative de la loi appartient,4,4,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q40,Sans chapitre fiable,Les arrêtés émanent (plusieurs réponses),5,"1,4,5",3,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q41,Chapitre 2 - Les sources du droit,La convention collective,2,1,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 7"
S1-Q42,Sans chapitre fiable,La coutume comporte (plusieurs réponses),3,"1,3",2,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q43,Chapitre 2 - Les sources du droit,Le traité de Lisbonne (plusieurs réponses),5,"2,3,5",3,checkboxes,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 2"
S1-Q44,Sans chapitre fiable,Les règlements européens (plusieurs réponses),6,"1,3,4,6",4,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q45,Chapitre 2 - Les sources du droit,Sont rattachables au pouvoir exécutif (plusieurs réponses),4,"1,2,3,4",4,checkboxes,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 6"
S1-Q46,Chapitre 6 - Les personnes,Le nom de famille,3,1,1,radio,,"ENISE CHAP 6 LES PERSONNES-1.pdf, p. 2"
S1-Q47,Sans chapitre fiable,Le nom présente plusieurs caractéristiques,3,"1,2,3",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S1-Q48,Sans chapitre fiable,Le mineur est frappé,4,3,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q49,Chapitre 3 - La preuve des droits,La personne majeure incapable,2,1,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 4"
S1-Q50,Chapitre 4 - Les juridictions,Une personne morale obéit à plusieurs principes (plusieurs réponses),4,"1,2",2,checkboxes,,"CHAP 4.pdf, p. 10"
S1-Q52,Chapitre 3 - La preuve des droits,"La naissance, le décès sont ....",3,1,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 5"
S1-Q54,Chapitre 4 - Les juridictions,"Une personne est recherchée depuis plusieurs jours sans succès suite à une balade en pleine mer. La mer était ce jour-là particulièrement agitée, des creux de 10 mètres étaient enregistrés (plusieurs réponses)",4,"2,3",2,checkboxes,,"CHAP 4.pdf, p. 19"
S1-Q55,Chapitre 3 - La preuve des droits,Le fait naturel (plusieurs réponses),4,"1,3,4",3,checkboxes,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 5"
S1-Q56,Chapitre 6 - Les personnes,Une personne physique est,2,1,1,radio,,"ENISE CHAP 6 LES PERSONNES-1.pdf, p. 2"
S1-Q57,Chapitre 6 - Les personnes,La personnalité juridique est reconnue (plusieurs réponses),5,"1,2",2,checkboxes,,"ENISE CHAP 6 LES PERSONNES-1.pdf, p. 2"
S1-Q58,Chapitre 1 - Définition et finalité du droit,Les catégories des droits patrimoniaux sont (plusieurs réponses),4,"1,2,3",3,checkboxes,,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 5"
S1-Q59,Sans chapitre fiable,Le patrimoine est incessible. Cela signifie (plusieurs réponses),4,"2,3",2,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q60,Chapitre 4 - Les juridictions,Les biens sont (plusieurs réponses),3,"1,2,3",3,checkboxes,,"CHAP 4.pdf, p. 21"
S1-Q61,Sans chapitre fiable,Une chose fongible est aussi (plusieurs réponses),4,"1,3",2,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q62,Sans chapitre fiable,Une chose commune,4,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q63,Chapitre 5 - Les MARD,Monsieur et Madame X ont un différend avec leur garagiste. Celui-ci réclame 5500 € de règlement alors que le devis était de 4500 €. (Plusieurs réponses),6,"3,4",2,checkboxes,,"ENISE CHAP 5 MARD les modes alternatifs de règlement des différents.pdf, p. 1"
S1-Q64,Chapitre 3 - La preuve des droits,Votre ami veut s'installer comme artisan. Il vous demande ce qu'est la notion de patrimoine d'affectation (plusieurs réponses possibles),5,"2,3,4,5",4,checkboxes,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 4"
S1-Q65,Chapitre 3 - La preuve des droits,Une présomption de fait,4,1,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 10"
S1-Q67,Chapitre 3 - La preuve des droits,Le patrimoine est (plusieurs réponses),5,"1,2,3,4,5",5,checkboxes,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 4"
S1-Q68,Chapitre 5 - Les MARD,La procédure civile prévoit,3,1,1,radio,,"ENISE CHAP 5 MARD les modes alternatifs de règlement des différents.pdf, p. 5"
S1-Q69,Sans chapitre fiable,Le conciliateur,3,1,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q70,Chapitre 5 - Les MARD,La médiation,4,2,1,radio,,"ENISE CHAP 5 MARD les modes alternatifs de règlement des différents.pdf, p. 4"
S1-Q71,Chapitre 5 - Les MARD,Le médiateur,3,"1,2",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 5 MARD les modes alternatifs de règlement des différents.pdf, p. 2"
S1-Q72,Chapitre 3 - La preuve des droits,"Lorsqu'une procédure est en cours, l'intervention du médiateur",3,2,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 20"
S1-Q73,Sans chapitre fiable,La durée de la médiation est,3,"1,3",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S1-Q74,Sans chapitre fiable,L'arbitrage est (plusieurs réponses),4,"2,3,4",3,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q75,Chapitre 2 - Les sources du droit,Lorsque l'arbitre est dispensé de motiver sa décision en droit (plusieurs réponses),4,"2,3,4",3,checkboxes,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 2"
S1-Q76,Chapitre 4 - Les juridictions,Lorsque l'arbitre ne motive pas sa décision en droit,3,3,1,radio,,"CHAP 4.pdf, p. 7"
S1-Q77,Chapitre 4 - Les juridictions,Lorsque les parties prévoient le recours à l'arbitrage en cas d'éventuel conflit. Elles le prévoient,3,2,1,radio,,"CHAP 4.pdf, p. 16"
S1-Q78,Sans chapitre fiable,L'arbitrage ad hoc signifie,4,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q79,Chapitre 1 - Définition et finalité du droit,Le contrat de travail est défini,4,2,1,radio,,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 4"
S1-Q80,Sans chapitre fiable,"Pour qu'il s'agisse d'un contrat de travail à durée déterminée, il faut (plusieurs réponses)",5,"1,2,3,4",4,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q81,Chapitre 4 - Les juridictions,Le contrat de travail doit respecter des conditions de fond dont notamment le consentement. Celui-ci doit être libre et éclairé (plusieurs réponses),3,"1,2,3",3,checkboxes,,"CHAP 4.pdf, p. 10"
S1-Q82,Chapitre 3 - La preuve des droits,"Selon l'article 1221-3 du code du travail, le contrat de travail établi par écrit est rédigé",3,1,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 14"
S1-Q83,Chapitre 1 - Définition et finalité du droit,Le CDI peut comporter une période d'essai dont la durée maximale est : article 1221-19 du code du travail,3,2,1,radio,,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 5"
S1-Q84,Chapitre 1 - Définition et finalité du droit,La rupture d'un contrat à durée déterminée est possible si elle est,4,4,1,radio,,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 11"
S1-Q85,Sans chapitre fiable,Une interdiction totale des Technologies de l'information et de communication (TIC),4,4,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q86,Sans chapitre fiable,L'employeur peut (plusieurs réponses),3,"1,2,3",3,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q87,Sans chapitre fiable,Il existe différentes formes de télétravail et notamment le nomadisme,3,"2,3",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S1-Q88,Sans chapitre fiable,Le CDD est un contrat conclu,3,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q89,Sans chapitre fiable,La durée d'un CDD est (plusieurs réponses),3,"1,2",2,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q90,Sans chapitre fiable,Le CDD doit être transmis (plusieurs réponses),3,1,1,radio,QUESTION_HINTS_MULTIPLE_BUT_SINGLE_KEY;NO_RELIABLE_COURSE_NOTE,
S1-Q91,Sans chapitre fiable,Si l'employeur ne respecte pas le délai. Avec les ordonnances Macron.,2,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q92,Sans chapitre fiable,Le CDD ne peut être rompu qu'en cas (plusieurs réponses),4,"2,3",2,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q93,Sans chapitre fiable,L'indemnité de fin de contrat pour un CDD (plusieurs réponses),3,"1,3",2,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q94,Sans chapitre fiable,Le montant de l'indemnité versée,3,1,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q95,Sans chapitre fiable,La suspension d'un CDD fait,3,3,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q96,Chapitre 2 - Les sources du droit,"D'après la loi, il est",3,2,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 4"
S1-Q97,Sans chapitre fiable,"A défaut d'accord, la durée de la période d'essai pour un CTT (plusieurs réponses)",5,"1,3,4",3,checkboxes,NO_RELIABLE_COURSE_NOTE,
S1-Q98,Sans chapitre fiable,En cas de rupture du CTT,3,1,1,radio,NO_RELIABLE_COURSE_NOTE,
S1-Q99,Chapitre 6 - Les personnes,La personne morale n'a qu'une activité limitée à son objet social,3,2,1,radio,,"ENISE CHAP 6 LES PERSONNES-1.pdf, p. 13"
S1-Q100,Chapitre 6 - Les personnes,Une personne morale naît (plusieurs réponses),3,"1,2,3",3,checkboxes,,"ENISE CHAP 6 LES PERSONNES-1.pdf, p. 4"
S2-Q1,Chapitre 1 - Définition et finalité du droit,Le droit objectif désigne,5,4,1,radio,,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 2"
S2-Q3,Chapitre 1 - Définition et finalité du droit,Les principales fonctions du droit sont,5,"1,2,4,5",4,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 3"
S2-Q6,Sans chapitre fiable,Le droit bancaire fait partie,3,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S2-Q7,Chapitre 2 - Les sources du droit,Le pouvoir législatif appartient,5,1,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 8"
S2-Q8,Sans chapitre fiable,La loi est votée,5,4,1,radio,NO_RELIABLE_COURSE_NOTE,
S2-Q14,Sans chapitre fiable,La durée de la médiation,3,"1,3",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q15,Sans chapitre fiable,L'arbitrage est,4,"2,3,4",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q16,Chapitre 2 - Les sources du droit,Lorsque l'arbitre est dispensé de motiver sa décision en droit,4,"2,3,4",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 2"
S2-Q18,Chapitre 4 - Les juridictions,"Lorsque les parties prévoient le recours à l'arbitrage en cas d'éventuel conflit, elles le prévoient",3,2,1,radio,,"CHAP 4.pdf, p. 16"
S2-Q19,Sans chapitre fiable,L'arbitrage ad hoc signifie,4,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S2-Q21,Sans chapitre fiable,Une loi nouvelle est,3,3,1,radio,NO_RELIABLE_COURSE_NOTE,
S2-Q22,Chapitre 3 - La preuve des droits,"À l'occasion d'un contrat en cours d'exécution, une loi nouvelle",4,3,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 4"
S2-Q23,Chapitre 2 - Les sources du droit,Une loi a force obligatoire à compter,3,2,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 4"
S2-Q24,Chapitre 2 - Les sources du droit,La promulgation de la loi est réalisée,4,4,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 4"
S2-Q25,Sans chapitre fiable,Selon quelle logique la pyramide de Kelsen a été élaborée,3,1,1,radio,NO_RELIABLE_COURSE_NOTE,
S2-Q27,Chapitre 2 - Les sources du droit,La pertinence des textes de loi de la constitution est contrôlée,4,3,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 4"
S2-Q28,Chapitre 2 - Les sources du droit,Les traités internationaux sont applicables,6,"1,2,3,5",4,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 1"
S2-Q29,Sans chapitre fiable,La signature du traité revient,5,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S2-Q31,Sans chapitre fiable,Les arrêtés émanent,5,"1,4,5",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q33,Sans chapitre fiable,La coutume comporte,3,"1,3",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q34,Chapitre 2 - Les sources du droit,Le traité de Lisbonne,5,"2,3,5",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 2"
S2-Q35,Sans chapitre fiable,Les règlements européens,6,"1,3,4,6",4,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q36,Chapitre 2 - Les sources du droit,Le droit communautaire est un droit,5,"1,3,4,5",4,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 2"
S2-Q37,Chapitre 2 - Les sources du droit,Le droit communautaire originaire,3,2,1,radio,,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 2"
S2-Q38,Sans chapitre fiable,Le Parlement européen,4,4,1,radio,NO_RELIABLE_COURSE_NOTE,
S2-Q39,Chapitre 2 - Les sources du droit,Sont rattachables au pouvoir exécutif,4,"1,2,3,4",4,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 6"
S2-Q41,Chapitre 4 - Les juridictions,La Cour de cassation,4,"3,4",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"CHAP 4.pdf, p. 8"
S2-Q42,Chapitre 4 - Les juridictions,La Cour de cassation (seconde version),9,"2,5,8,9",4,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"CHAP 4.pdf, p. 8"
S2-Q43,Sans chapitre fiable,Quelles sont les juridictions permanentes,5,"1,2,3,4,5",5,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q44,Sans chapitre fiable,Les principes relatifs au jugement sont,7,"3,5,6,7",4,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q45,Chapitre 4 - Les juridictions,Les principes de l'organisation judiciaire sont,6,"1,2,3,4,5",5,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"CHAP 4.pdf, p. 1"
S2-Q46,Sans chapitre fiable,Un arrêt est rendu,5,"1,2,3",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q49,Chapitre 6 - Les personnes,Le nom de famille,3,1,1,radio,,"ENISE CHAP 6 LES PERSONNES-1.pdf, p. 2"
S2-Q54,Chapitre 4 - Les juridictions,Une personne morale obéit à plusieurs principes,5,"1,2",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"CHAP 4.pdf, p. 10"
S2-Q55,Chapitre 4 - Les juridictions,L'appel d'une décision est possible,3,1,1,radio,,"CHAP 4.pdf, p. 7"
S2-Q56,Chapitre 2 - Les sources du droit,La doctrine est constituée,5,"1,2",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 2 LES SOURCES DU DROIT.pdf, p. 7"
S2-Q57,Chapitre 3 - La preuve des droits,"Lors d'un procès, la preuve incombe en principe",4,3,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 9"
S2-Q59,Chapitre 4 - Les juridictions,Les voies de recours ordinaires en justice sont,4,"1,2",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"CHAP 4.pdf, p. 17"
S2-Q60,Chapitre 3 - La preuve des droits,Un acte sous seing privé,4,"1,3,4",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 14"
S2-Q61,Chapitre 3 - La preuve des droits,Un aveu,4,"1,4",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 15"
S2-Q62,Sans chapitre fiable,La récolte de pommes,4,2,1,radio,NO_RELIABLE_COURSE_NOTE,
S2-Q63,Chapitre 3 - La preuve des droits,Une personne est recherchée depuis plusieurs jours sans succès suite à une balade en pleine mer,4,"2,3",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 18"
S2-Q64,Chapitre 4 - Les juridictions,Le tribunal compétent,3,2,1,radio,,"CHAP 4.pdf, p. 10"
S2-Q65,Chapitre 3 - La preuve des droits,Le fait naturel,4,"1,3,4",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 5"
S2-Q67,Chapitre 3 - La preuve des droits,La charge de la preuve,4,"3,4",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 9"
S2-Q68,Chapitre 6 - Les personnes,La personnalité juridique est reconnue,5,"1,2",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 6 LES PERSONNES-1.pdf, p. 2"
S2-Q69,Chapitre 1 - Définition et finalité du droit,Les catégories des droits patrimoniaux sont,4,"1,2,3",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 5"
S2-Q70,Sans chapitre fiable,Le patrimoine est incessible. Cela signifie,4,"2,3",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q71,Chapitre 4 - Les juridictions,Les biens sont,3,"1,2,3",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"CHAP 4.pdf, p. 21"
S2-Q72,Chapitre 1 - Définition et finalité du droit,Les droits patrimoniaux,5,"1,2,3",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 1 Définition et finalité du droit-1.pdf, p. 5"
S2-Q73,Sans chapitre fiable,Une chose fongible est aussi,4,"1,3",2,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY;NO_RELIABLE_COURSE_NOTE,
S2-Q75,Chapitre 5 - Les MARD,Monsieur et Madame X ont un différend avec leur garagiste. Celui-ci réclame 3500 € de règlement alors que le devis était de 2500 €.,7,"4,6,7",3,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 5 MARD les modes alternatifs de règlement des différents.pdf, p. 1"
S2-Q76,Chapitre 4 - Les juridictions,"En France, lorsqu'une décision est rendue par une juridiction du premier degré",3,2,1,radio,,"CHAP 4.pdf, p. 7"
S2-Q77,Chapitre 3 - La preuve des droits,Votre ami est artisan. Il vous demande ce qu'est la notion de patrimoine d'affectation,5,"2,3,4,5",4,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 4"
S2-Q80,Chapitre 3 - La preuve des droits,"La naissance, le décès sont",3,1,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 5"
S2-Q81,Chapitre 3 - La preuve des droits,Une copie d'acte authentique est considérée,2,2,1,radio,,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 13"
S2-Q82,Chapitre 3 - La preuve des droits,Correspondent à des modes de preuves parfaites,5,"1,2,3,4,5",5,checkboxes,NO_MULTIPLE_HINT_BUT_MULTIPLE_KEY,"ENISE CHAP 3 LA PREUVE DES DROITS.pdf, p. 12"
